"Anno","Cittadinanza","Maschi","Femmine","Totale"
"2024","Italia","26244078","27473494","53717572"
"2024","Afghanistan","13704","3938","17642"
"2024","Albania","213537","202692","416229"
"2024","Algeria","12596","6546","19142"
"2024","Andorra","4","5","9"
"2024","Angola","595","578","1173"
"2024","Antigua e Barbuda","12","9","21"
"2024","Apolide","288","201","489"
"2024","Arabia Saudita","97","54","151"
"2024","Argentina","7084","8258","15342"
"2024","Armenia","677","882","1559"
"2024","Australia","630","965","1595"
"2024","Austria","2039","4396","6435"
"2024","Azerbaigian","555","538","1093"
"2024","Bahamas","9","9","18"
"2024","Bahrein","7","13","20"
"2024","Bangladesh","139558","53120","192678"
"2024","Barbados","6","9","15"
"2024","Belgio","2784","3492","6276"
"2024","Belize","6","7","13"
"2024","Benin","1773","909","2682"
"2024","Bhutan","10","11","21"
"2024","Bielorussia","2011","7494","9505"
"2024","Bolivia","4873","7605","12478"
"2024","Bosnia-Erzegovina","10178","9399","19577"
"2024","Botswana","6","11","17"
"2024","Brasile","16257","35661","51918"
"2024","Brunei Darussalam","1","1","2"
"2024","Bulgaria","18504","30155","48659"
"2024","Burkina Faso","12171","4597","16768"
"2024","Burundi","286","449","735"
"2024","Cambogia","70","147","217"
"2024","Camerun","9173","7397","16570"
"2024","Canada","972","1383","2355"
"2024","Capo Verde","1263","2285","3548"
"2024","Ciad","371","90","461"
"2024","Cile","1468","1944","3412"
"2024","Cina","156070","152914","308984"
"2024","Cipro","172","209","381"
"2024","Colombia","9445","13710","23155"
"2024","Comore","2","1","3"
"2024","Congo","1558","1561","3119"
"2024","Corea del Nord","24","49","73"
"2024","Corea del Sud","1526","2119","3645"
"2024","Costa d'Avorio","20726","11090","31816"
"2024","Costa Rica","180","395","575"
"2024","Croazia","7470","7879","15349"
"2024","Cuba","7555","17201","24756"
"2024","Danimarca","828","1150","1978"
"2024","Dominica","400","672","1072"
"2024","Ecuador","26594","32800","59394"
"2024","Egitto","109721","51830","161551"
"2024","El Salvador","10265","14084","24349"
"2024","Emirati Arabi Uniti","8","5","13"
"2024","Eritrea","3222","2898","6120"
"2024","Estonia","224","1008","1232"
"2024","Eswatini","11","10","21"
"2024","Etiopia","2665","3706","6371"
"2024","Federazione russa","8665","32966","41631"
"2024","Figi","11","14","25"
"2024","Filippine","67515","89127","156642"
"2024","Finlandia","379","1214","1593"
"2024","Francia","12568","18328","30896"
"2024","Gabon","250","263","513"
"2024","Gambia","23492","1287","24779"
"2024","Georgia","4928","28746","33674"
"2024","Germania","13541","21563","35104"
"2024","Ghana","31776","14753","46529"
"2024","Giamaica","57","71","128"
"2024","Giappone","1841","5268","7109"
"2024","Gibuti","10","13","23"
"2024","Giordania","893","604","1497"
"2024","Grecia","3651","3949","7600"
"2024","Grenada","5","6","11"
"2024","Guatemala","367","664","1031"
"2024","Guinea","11630","2040","13670"
"2024","Guinea-Bissau","2192","243","2435"
"2024","Guinea Equatoriale","80","91","171"
"2024","Guyana","7","11","18"
"2024","Haiti","191","212","403"
"2024","Honduras","1323","2598","3921"
"2024","India","97678","73202","170880"
"2024","Indonesia","517","2868","3385"
"2024","Iran","10040","9847","19887"
"2024","Iraq","5545","1662","7207"
"2024","Irlanda","1971","1982","3953"
"2024","Islanda","78","92","170"
"2024","Isole Marshall","1","0","1"
"2024","Isole Salomone","0","5","5"
"2024","Israele","1144","944","2088"
"2024","Kazakhstan","375","1801","2176"
"2024","Kenya","955","1734","2689"
"2024","Kirghizistan","547","2026","2573"
"2024","Kiribati","1","0","1"
"2024","Kosovo","19960","16086","36046"
"2024","Kuwait","34","26","60"
"2024","Laos","13","58","71"
"2024","Lesotho","5","3","8"
"2024","Lettonia","585","2324","2909"
"2024","Libano","3074","1893","4967"
"2024","Liberia","892","229","1121"
"2024","Libia","1991","1015","3006"
"2024","Liechtenstein","10","13","23"
"2024","Lituania","1049","4243","5292"
"2024","Lussemburgo","138","154","292"
"2024","Macedonia del Nord","25345","24021","49366"
"2024","Madagascar","480","1195","1675"
"2024","Malawi","42","50","92"
"2024","Malaysia","305","284","589"
"2024","Maldive","15","1","16"
"2024","Mali","21876","1357","23233"
"2024","Malta","383","516","899"
"2024","Marocco","224889","187457","412346"
"2024","Mauritania","564","176","740"
"2024","Maurizio","2111","2818","4929"
"2024","Messico","1855","3550","5405"
"2024","Moldova","34538","68129","102667"
"2024","Monaco","19","14","33"
"2024","Mongolia","67","201","268"
"2024","Montenegro","918","1083","2001"
"2024","Mozambico","138","230","368"
"2024","Myanmar/Birmania","156","265","421"
"2024","Namibia","11","30","41"
"2024","Nepal","1110","799","1909"
