Età;maschi;femmine;Totale
0;165266;156258;321524
1;170765;161020;331785
2;179345;168282;347627
3;183057;173617;356674
4;185141;174205;359346
5;191604;181961;373565
6;201216;189790;391006
7;209979;197933;407912
8;216724;206041;422765
9;224071;211797;435868
10;231735;218738;450473
11;236406;223329;459735
12;247501;234097;481598
13;253953;239806;493759
14;262989;247482;510471
15;267592;252096;519688
16;271154;256653;527807
17;272199;256437;528636
18;274031;257568;531599
19;278126;260605;538731
20;281541;265731;547272
21;277078;261140;538218
22;273424;258212;531636
23;274604;258544;533148
24;277968;261109;539077
25;271187;255970;527157
26;270235;253961;524196
27;266845;251943;518788
28;266102;251584;517686
29;263664;249320;512984
30;264995;252429;517424
31;269706;258312;528018
32;279598;268719;548317
33;278572;268335;546907
34;281096;271597;552693
35;277716;270233;547949
36;282903;275356;558259
37;274556;268738;543294
38;275453;270978;546431
39;284896;282855;567751
40;291253;289216;580469
41;298842;296318;595160
42;308167;307623;615790
43;311045;311777;622822
44;319125;318701;637826
45;331633;332549;664182
46;352791;353379;706170
47;366294;368373;734667
48;385613;387449;773062
49;406734;409259;815993
50;427042;428801;855843
51;426180;429464;855644
52;431045;432992;864037
53;436317;440370;876687
54;431410;435647;867057
55;443677;449089;892766
56;439141;444668;883809
57;442255;449397;891652
58;450949;458621;909570
59;449440;458185;907625
60;454824;464373;919197
61;423050;435904;858954
62;405943;420832;826775
63;396705;413043;809748
64;381818;398476;780294
65;371174;389080;760254
66;350871;371739;722610
67;345559;368658;714217
68;336308;361192;697500
69;327058;354926;681984
70;318982;350344;669326
71;302157;332225;634382
72;292266;326912;619178
73;287452;325106;612558
74;292738;334683;627421
75;289490;334375;623865
76;295144;346791;641935
77;281503;335078;616581
78;272191;331070;603261
79;201363;250518;451881
80;198904;253337;452241
81;189965;250566;440531
82;179171;241892;421063
83;170248;236873;407121
84;174166;249928;424094
85;159255;233896;393151
86;139637;214338;353975
87;115720;184948;300668
88;94386;159561;253947
89;82804;147342;230146
90;67345;127341;194686
91;52920;107007;159927
92;40636;89422;130058
93;31671;74332;106003
94;24186;62951;87137
95;15856;45157;61013
96;10741;33729;44470
97;7244;24449;31693
98;4462;17200;21662
99;2722;11662;14384
100;4012;19243;23255
